,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
0,"Hazard, Eden",6,F,OWNED,33,16,12,85,0,40,12,78,97,2,0,0,28,12,4,18,0,0,0,0
1,"Maddison, James",11,M,OWNED,32,7,6,93,0,25,44,33,69,3,1,1,61,12,5,10,0,0,0,5
2,Mohamed Salah,12,F,OWNED,34,19,7,62,3,56,18,111,30,1,0,0,16,5,4,11,0,0,0,0
3,"Fraser, Ryan",1,M,OWNED,34,7,12,77,0,21,18,25,59,2,0,0,59,21,19,11,0,0,0,7
4,"Sigurdsson, Gylfi",8,M,OWNED,34,12,4,64,0,32,51,28,36,3,0,0,43,25,18,18,0,0,0,10
5,"Sterling, Raheem",13,M,OWNED,29,17,9,59,4,35,28,73,37,2,0,0,11,15,4,8,0,0,0,2
6,"Milivojevic, Luka",7,M,OWNED,34,12,1,46,0,25,78,17,31,8,0,0,43,63,57,48,0,0,0,11
7,"Pogba, Paul",14,M,OWNED,30,13,9,46,1,48,41,75,58,5,0,0,3,16,32,52,0,0,0,7
8,"Digne, Lucas",8,D,OWNED,31,3,4,58,0,8,61,29,29,4,0,1,72,55,80,82,1,34,10,0
9,Felipe Anderson,19,M,OWNED,33,9,4,58,1,22,77,50,49,3,0,0,32,36,10,10,0,0,0,4
10,"Doherty, Matt",20,D,OWNED,33,3,4,31,2,16,61,20,15,4,0,0,12,50,79,136,1,2,0,6
11,"van Dijk, Virgil",12,D,OWNED,34,3,2,7,2,7,34,1,17,1,0,0,0,39,183,152,0,20,17,0
12,"Mane, Sadio",12,F,OWNED,32,18,1,36,2,37,34,37,55,2,0,0,5,15,8,31,0,0,0,7
13,Joao Moutinho,20,M,OWNED,33,1,8,68,0,2,99,19,33,3,0,0,47,36,35,20,0,0,0,6
14,Ricardo Pereira,11,D,OWNED,31,2,5,32,2,8,106,33,45,6,0,0,15,52,94,57,0,28,6,1
15,"Jimenez, Raul",20,F,OWNED,33,12,7,39,3,33,27,59,32,4,0,0,7,24,36,72,0,0,0,0
16,"Kane, Harry",17,F,OWNED,28,17,4,30,2,46,10,44,52,5,0,0,4,1,14,49,0,0,0,0
17,"Robertson, Andrew",12,D,OWNED,32,0,9,44,1,4,75,23,14,4,0,0,18,29,43,20,0,18,18,0
18,"Mitrovic, Aleksandar",9,F,OWNED,33,10,3,29,1,44,19,85,54,6,0,0,1,6,51,216,0,0,0,0
19,"Aguero, Sergio",13,F,OWNED,28,19,7,29,3,38,17,45,21,3,0,0,0,8,3,15,0,0,0,0
20,"Eriksen, Christian",17,M,OWNED,30,6,12,66,0,24,34,27,13,2,0,0,28,14,7,9,0,0,0,5
21,"Aubameyang, Pierre-Emerick",2,F,OWNED,32,18,5,29,2,33,19,27,18,0,0,0,6,7,18,32,0,0,0,2
22,"Lacazette, Alexandre",2,F,OWNED,31,13,7,26,4,28,32,52,49,2,0,0,5,14,26,42,0,0,0,0
23,"Paterson, Callum",5,D,FA,27,4,1,23,1,8,21,12,30,4,0,0,5,8,28,202,0,0,1,1
24,"Deeney, Troy",18,F,OWNED,30,9,5,39,0,27,23,33,32,4,0,1,2,7,28,190,0,0,0,0
25,Willian,6,F,OWNED,30,3,6,74,1,21,34,35,30,1,0,0,37,13,9,10,0,0,0,0
26,"Morrison, Sean",5,D,OWNED,30,1,3,19,1,8,25,6,18,5,0,0,0,50,182,205,0,57,8,0
27,"Alonso, Marcos",6,D,OWNED,28,1,4,31,4,6,67,25,32,6,0,0,9,32,71,59,0,27,12,0
28,Roberto Firmino,12,F,OWNED,33,12,6,42,2,34,30,59,10,0,0,0,1,6,15,28,0,0,0,7
29,"Azpilicueta, Cesar",6,D,OWNED,34,1,4,25,1,5,93,9,15,4,0,0,20,37,63,59,0,36,14,0
30,"Alexander-Arnold, Trent",12,D,OWNED,25,1,7,36,0,9,52,14,7,3,0,0,47,31,52,7,0,12,12,0
31,"Townsend, Andros",7,M,OWNED,34,4,3,54,1,14,59,71,50,1,0,0,38,34,15,4,0,0,0,3
32,"Ritchie, Matt",15,M,OWNED,32,2,5,49,0,10,54,17,37,8,0,0,59,46,52,28,0,17,5,4
33,"Silva, David",13,M,OWNED,28,6,6,65,0,20,25,28,23,2,0,0,18,17,10,16,0,0,0,11
34,"Trippier, Kieran",17,D,OWNED,25,1,3,45,2,3,62,14,22,2,0,0,52,22,57,30,1,15,7,1
35,"Chilwell, Ben",11,D,OWNED,32,0,3,39,1,8,42,46,40,3,0,0,20,34,107,102,0,35,8,0
36,"Vardy, Jamie",11,F,OWNED,30,15,4,25,1,35,12,18,17,3,0,1,5,5,23,64,0,0,0,0
37,"Keane, Michael",8,D,OWNED,29,1,2,8,0,7,36,1,7,2,0,0,1,42,162,163,0,37,10,0
38,"Duffy, Shane",3,D,OWNED,30,5,1,6,1,15,28,1,10,4,0,1,1,34,202,170,0,47,6,0
39,Wilfred Ndidi,11,M,OWNED,34,2,0,21,0,8,124,33,21,7,0,0,0,69,73,125,0,0,0,8
40,Bernardo Silva,13,M,OWNED,31,6,7,58,1,15,38,30,20,3,0,0,10,20,22,6,0,0,0,7
41,Ayoze Perez,15,F,OWNED,33,7,2,43,0,23,56,68,38,2,0,0,3,41,28,22,0,0,0,5
42,"Boly, Willy",20,D,OWNED,31,4,0,7,0,6,75,15,13,2,0,1,0,63,151,124,0,37,6,0
43,"Wilson, Callum",1,F,OWNED,26,12,8,29,3,25,8,40,27,3,0,0,5,3,14,41,0,0,0,0
44,Richarlison,8,F,OWNED,32,12,1,17,1,26,47,86,70,5,0,1,2,15,37,67,0,0,0,6
45,"Tarkowski, James",4,D,OWNED,31,3,1,4,1,9,61,9,30,6,0,0,1,35,204,155,0,55,7,0
46,"Sane, Leroy",13,F,OWNED,27,9,10,38,2,22,20,37,12,1,0,0,16,6,2,10,0,0,0,0
47,"Zaha, Wilfried",7,F,OWNED,30,8,3,43,5,23,38,126,92,7,1,1,11,7,1,8,0,0,0,0
48,"Rashford, Marcus",14,F,OWNED,28,10,6,28,1,34,18,39,44,3,0,1,9,2,21,25,0,0,0,0
49,"King, Joshua",1,F,OWNED,31,11,3,35,0,21,26,84,42,3,0,0,8,5,12,84,0,0,0,0
50,"Milner, James",12,M,OWNED,28,4,4,44,1,7,41,10,26,3,1,1,37,18,20,20,0,3,4,5
51,"Westwood, Ashley",4,M,OWNED,30,2,7,39,1,7,50,15,20,4,0,0,30,40,34,19,0,0,0,7
